star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD59468,-377.06552709381174,-281.80624695347575,134.46066371298622,279.2015528387427,-45.72065692191671,20.82781883134363,-19.945979962997974,68.23225502114201,-161.089318297249,-58.20165239879291,-34.6892988555164,36.61749217843815,-262.45360572847784,136.4916492645402,45.59026480415754,93.39804328123432,271.5516908424032,399.0115216729852,338.51336046618786,125.88653551807079,25.599534553471138,85.52527418111234,-320.9805223700188,107.28756766537128,-289.92606150654495,205.8263710522393,113.24564368925986,98.03499990570803
HD65907,-452.087321422561,-325.75353393281154,76.9763759479857,218.23614441469246,-41.66830252090367,54.96234594679346,-24.205300499279364,77.81713355581725,-65.97535323682318,48.93907384995631,-6.358366632103048,95.09322056104038,-363.2016117306485,99.87152622860874,120.35937966127327,76.96682918873472,331.68879389503127,343.8765936923389,302.1873830725575,139.01150292508612,106.92418229840791,123.14776093262968,-292.9389423515444,95.53903938994969,-428.4038812063654,127.05822550680637,123.29915866896245,190.40899059800446
HD6735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD67458,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD68168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD68978,-441.9405451115064,-293.44306487580343,125.92405697840555,299.72483506610956,-57.790459648548726,65.51182755048454,-35.801848010280594,107.40895056917128,-86.92367639318148,18.361638555744868,-74.97647685180839,43.579328546776196,-228.27683352147022,127.57976984327487,53.52001604695518,48.78506379161338,282.66816950327126,358.0558237167186,321.60606417467363,113.89484235653114,215.90009598272573,63.448165586531935,-318.00185288146173,95.30501474301082,-271.4528985684915,165.53999721910802,110.03517273254097,71.44302798751391
HD69655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD69830,-434.01237852897987,-309.1846268886048,85.17916715581775,250.73902684180223,-19.546114296912343,52.55249366151225,5.595851102144298,98.36440647947991,-164.2574564647522,-78.5984354816282,-42.459723070769236,51.792268770480995,-297.4870906663976,101.52552450026877,17.112917824202132,56.315435682473634,210.98770605213522,332.57773606097936,288.23532797510137,119.62857426410895,-31.050620699395008,4.586315790594595,-340.278619561121,83.35744802916027,-314.8296467882381,191.6836607521261,109.42285314292172,102.04875239045361
HD70642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD70889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD7134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD72769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD73256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
