Transition,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4579.830Ca1,27,10.483935455390704,-5410.574294852298,-0.5430206774036572,10.05065898411569,3523.209937021934,3.984164514586541e-05,23.366528855180093,-411.8666780495603
4579.830Ca1,28,10.724101065641763,398.3288389058283,-0.49461116417681666,34.62909510949651,758.3802726746742,4.006416538466884e-05,3.6134480479631526,-93.0136418750039
4584.412Fe1,27,0,-26684.490290433332,-2.1987660116667946,-38.34151063522119,14961.350766563806,0.0001923890048816801,28.20641187553693,-1715.9537122187078
4584.412Fe1,28,0,7979.3742301966795,-0.6723949509580064,48.803376729818545,-3069.662049506918,6.695662422068838e-05,-84.69117014912531,356.4610470881002
4584.693Ti2,27,2.4655654549772117,9482.925743591222,-0.16889340297158908,-131.5769777073109,-4345.766775278077,2.405171713227673e-05,-56.91643642202546,501.87591219507647
4584.693Ti2,28,3.890076795512482,18861.310685770364,1.0475134244732793,-119.02256553588094,-10267.625579928414,-7.456683083463649e-05,-50.686008539725506,1176.400598383204
4587.651V1,27,26.542818417178864,-34874.64205815684,1.300267058332084,-78.67246219435364,14589.381993430146,-0.00014776038177507592,213.13747073568015,-1654.8361305641392
4587.651V1,28,31.867804580690862,-41551.65189732508,5.037805178091943,-90.0597003425737,12916.360115123272,-0.0004859815297550757,345.2289086559752,-1460.4268551627938
4588.413Fe1,27,10.248793732044607,-9331.486766961303,0.2825660048048948,0.22936287785491927,3923.7905561692132,-3.444371219143648e-05,-3.8921474141964985,-440.14279463815626
4588.413Fe1,28,4.908561650021433,-9826.856311805668,0.49483662334876616,-27.79285220470487,3887.2660534319075,-4.9333791860920365e-05,53.07010029641683,-440.11201294972903
4589.484Cr2,27,16.332630812379495,7783.232176150803,1.9028225789953883,-14.915929254784402,-6258.3296011869315,-0.0001523388332147258,-96.0925108111452,713.3851913966014
4589.484Cr2,28,14.112830380466683,8674.10942519816,1.6540446849521173,-29.728840293657505,-6408.804796004619,-0.00012489097930583882,-149.637331242527,731.4276320577113
4592.075Fe1,28,15.980200701241488,-14362.474973261356,-1.6200513043576312,-6.6182899735469585,8927.072165797332,0.00013341821035232977,140.4159085151201,-1044.6888146011347
4595.452V1,28,11.080675161958466,-4123.926496250099,-4.471414228740761,-69.12036115316502,6383.6761299521,0.00037852288652569964,-8.80069550786292,-723.7136174413723
4599.405Fe1,28,5.7266681908775645,-1452.8222413166627,1.2552105836534488,125.69674592537844,-805.7760899967159,-0.00011748003690545899,61.12816073372173,89.87443907293827
4600.028Fe1,28,15.255532560480596,-17503.768119131197,3.7634201231840345,-48.34852447167253,3050.0514938366123,-0.00033996282385336907,-174.25541800065247,-326.83058268275516
4604.632Fe1,28,13.650122628815629,17149.350221539305,-0.31079783060443666,41.35509283475451,-7616.5577009944545,3.0479238702641875e-05,-239.44267075414135,874.7419009164809
4605.238Fe1,28,67.40502088727703,-79788.12647907466,14.572618994753073,-224.3101225425313,17487.93909585763,-0.0013325308895626939,459.0145572355504,-1926.2408536481676
4605.847Fe1,28,8.156330219698654,-5572.535108915939,-1.331943467525615,119.99016717654662,4391.9354638352615,0.00011343990094621314,254.93124760636198,-523.344305437923
4606.878Fe1,28,11.375418671289728,-21989.77387141494,1.5782778468051846,0.1922783021292387,8016.050966222006,-0.00014639834293061942,77.64862315908422,-923.1297158642158
