Transition,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4334.960La2,20,49.24894952360185,224.13636633999892,-6.96673236772358,-141.9515913370415,9768.51106324404,0.0005999414943816975,148.32551366643958,-1129.4847745452635
4343.034Fe1,20,91.3905851341322,-4154.475105447767,12.176745098711567,-275.7837836756606,-13383.310488637997,-0.0011137313081039137,1071.2379192386543,1537.5366472282587
4346.111Fe1,20,9.009328691864706,-1727.3263956540886,-1.497937604668598,43.69078806816477,2519.3744247127124,0.00014864754415210758,-24.2738519705694,-312.52288587311733
4351.364Fe1,20,141.0513035465487,6641.196900299244,-13.34286460059355,-784.1686324522819,14383.768116387982,0.0012049482393218897,-127.72434836603671,-1682.9856479809334
4351.364Fe1,21,139.87783743177937,66351.94581390187,-36.13769355296883,-1613.867755044066,18219.094817717138,0.0031845183267439157,635.1362096302139,-2236.1774728434393
4370.628Fe2,21,21.1910685249778,10556.671278511938,-3.0513565811144834,16.30711389809631,-896.5035896571605,0.00026948480872986423,-72.73461249981186,113.95482154097706
4381.963Fe1,21,23.54830511339794,22211.132176625193,-6.867857764850613,252.3741933168782,-1877.0456335330755,0.0006195477829112723,-122.13951780150673,222.87033941073557
4381.963Fe1,22,34.387509806657185,15190.447610924777,-6.5801517821308675,234.14074557318423,1076.382246914725,0.0005931108368296593,-182.56465524788283,-122.95978523379429
4386.207Cr1,21,14.081948694511922,-1179.8239348122486,1.2256767528156716,40.79353069389326,-1064.7528630219163,-0.00010431433269749189,-117.5130700443691,124.00044753374344
4386.207Cr1,22,20.682278174968705,1845.7531169476413,0.2658466172198528,30.536219514411,-1170.1340961347066,-1.7137493528391276e-05,-151.83813711366795,129.4290913854771
4387.097Ti1,21,46.470531612742306,1484.6031146251187,-0.7637507106566666,15.539649508765176,-234.30102347136557,8.731614069701028e-05,160.21237046221825,3.2461125220878397
4387.097Ti1,22,17.851248870837352,19081.36885194939,-5.724850354859511,24.99953252759181,-1825.8724055793953,0.0005252445002314961,-11.070259215696016,183.81980064716666
4398.472Cr1,22,139.3560023765058,-40520.419230235544,8.97908115837923,-2233.7411778313062,8488.495926198222,-0.00079931068468106,888.8100538947886,-1071.9135258416168
4399.855Ni1,22,72.4344445097573,-29024.938402649444,4.070040192392389,1134.4426657782287,6855.936449831312,-0.000325171545894269,-398.37485320766103,-749.3246596276513
4400.835Ni1,22,107.62065309979033,38254.032720230454,-18.237453039292685,-494.5832199286851,6318.092475573079,0.0016369184562426463,-85.74865047329924,-779.8969199854201
4404.412Fe1,22,21.813754916683163,-4512.604511784237,2.4505602185534214,-131.0609103491377,-725.4923399636879,-0.00024945893171799565,284.1347996629895,91.17058017090662
4411.270Ru1,22,47.46947173379608,24972.164519552163,-9.739381929947124,29.08812577033686,248.56101926446124,0.0008972337205349426,-446.9798040616143,-32.41202370659534
4490.998Fe1,24,14.914217310289576,-8965.330866307871,3.297886556178175,-54.27185482784164,42.409185200310446,-0.0002882907476167848,3.3274222175716814,-21.30055055638866
4490.998Fe1,25,13.039262000378057,-5505.879312224294,2.547396585133423,-43.188295020030296,-565.3946762387185,-0.0002222930032424607,24.108935539753414,46.776397365595024
4492.660Fe2,25,22.878102580720643,3519.173242390119,-1.468301329442842,424.0466157082115,519.7654298293031,0.00012208382034712252,150.44382202443722,-62.63104772453501
4493.938Fe1,25,10.327596428242245,706.9679394206745,-0.7955918142631377,-40.46907325579369,853.0478399913661,5.951241249136613e-05,127.3358352416208,-94.55434554323348
4500.398Fe1,25,7.224885422689274,-3269.328183443562,0.5700954389891559,5.322113657927941,804.8057123260621,-5.720716096228722e-05,103.09320226518317,-92.89980953071947
4502.533Ti2,25,15.374130168536952,-4100.95985116997,1.548615881621574,-87.15754618248577,27.36080044189793,-0.00012112954560150381,47.30530479144732,-40.21742121499977
4503.480Mn1,25,7.7109924777420815,537.4964706439506,0.15196309555748938,23.038543518744362,-543.5941904956352,-1.9466111761724234e-05,18.896210267393666,69.09319555292817
4503.854Fe1,25,3.7029053799810105,1119.600861363594,-1.0201508478729862,-42.190945912107814,850.8377027321362,8.538692890239231e-05,57.781044156626784,-97.55871278750149
4506.094Fe1,25,21.222472834077703,-12766.074344533828,4.239902041113074,-162.61828786759264,486.8402353080226,-0.0003916554971413832,84.13447175936939,-49.716258297098044
4509.949Fe1,25,22.44246954553352,16802.480067061086,-5.599888863310675,-6.029901042706045,-504.00656537576833,0.0005074015699333557,43.14819875053724,43.5377888842567
4510.999Fe1,25,7.470371687558881,-797.4154021847362,-0.8452155493979251,51.152520299858104,1353.7471162543864,7.860748237259402e-05,16.77790426105764,-159.4182343272025
4510.999Fe1,26,5.77412456293653,-2873.8695035467804,-1.2483235270559545,34.62219093190587,2884.4354378404114,0.0001142022864990195,0.1826579953253234,-341.3751195872039
