Transition 1,Transition 2,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4947.411Ni1,4953.667Ni1,37,5.517439956587292,394445.3419121657,1.6650700712113151,109.11841369598116,-9472.35293237706,-0.00013950904845263563,-15.252087727105117,1071.0095735077637
4947.411Ni1,4956.188Cr1,37,22.16624732114883,500100.1490557573,-2.3954272654727236,-134.71398622712783,18176.380423685932,0.0001688170186977886,296.449524320439,-2098.4737322901074
4948.988Si1,4953.667Ni1,37,18.567991755662266,314965.4963526631,6.304681065360109,53.30501292198359,-23402.688672818018,-0.0005450008755110519,-265.66017041205436,2737.320281692895
4951.487Fe1,4956.188Cr1,37,18.074338214066792,258544.3754487478,-1.3580683556630153,-215.6614172258213,13767.078689375714,9.687554213239736e-05,88.14975199555343,-1560.051811809909
4951.487Fe1,4956.188Cr1,38,20.060043860308138,253909.92947363429,-0.06356995914036766,-298.93900103213076,14130.36378940105,-1.7804606381670554e-05,68.4722119080663,-1592.703552486456
4951.487Fe1,4963.956Fe1,38,9.497482854450599,749142.7842203527,-1.4243966728305402,-94.90452491979353,4150.780347735178,0.00011882215393023102,9.30565309995079,-471.222677331974
4953.667Ni1,4956.188Cr1,37,31.128681210455483,90010.74791664183,-3.688555901519824,-251.20502295120716,34336.89694776036,0.0002733546810710145,288.5993635398354,-3931.974978836481
4953.667Ni1,4956.188Cr1,38,32.88737748626524,109857.8337195762,-1.6154002898921493,-262.96172827126804,22416.51956450099,9.472930242639325e-05,207.30922537010153,-2561.7022694416846
4953.667Ni1,4963.956Fe1,38,23.002504227350258,609324.2567997065,-2.8936114021494976,-60.39684107329076,10365.265702466602,0.000225720348416453,160.4200425834965,-1203.2038807586628
4953.667Ni1,4966.313Cr1,38,20.905741783706336,755270.0612014408,-5.587758149843861,-121.81734615307995,12093.082918832559,0.00046951507212220496,70.52808304136497,-1401.9379882003218
4953.667Ni1,4966.553Ni1,38,18.480691714175634,769045.5253145956,0.04860150628772275,22.26181165678737,5120.7563428673675,-1.9739409023957464e-05,373.355270598709,-615.5796983306512
4956.188Cr1,4963.956Fe1,38,14.255728560979628,496801.61443825974,-1.4515381296749492,202.02510935098874,-10583.15595993917,0.0001449225490273123,-58.03358153884216,1190.2585064388397
4956.188Cr1,4966.313Cr1,38,21.708288574151258,644582.7707280412,-4.262491730697458,136.7413630170611,-9546.269614376108,0.00039897744226246245,-160.95988589740554,1070.9372773439902
4956.188Cr1,4966.553Ni1,38,27.291011705202493,647207.337385665,1.3963955103000347,283.7737010653908,-11486.683416233187,-9.277226456698469e-05,104.83645740347252,1287.3956712376164
4963.956Fe1,4966.313Cr1,38,7.539345850611489,147186.42851766394,-2.645621047687306,-67.2408156583841,1138.2225631568867,0.00023846817329243325,-54.87373014956258,-134.19022435817033
4963.956Fe1,4971.304Fe1,38,5.036096241310976,438505.1242688227,2.633101101439815,56.205723331247945,-1326.8905493230784,-0.00022300474650437276,-38.24597680431593,153.2058191531286
4966.313Cr1,4966.553Ni1,38,15.189828680539453,8645.502832777065,5.647062459847005,143.26899201933722,-4647.888373471009,-0.0004908388568491114,267.70364951262565,522.7443783053998
4966.313Cr1,4977.524Ni1,38,16.991954856545252,692774.4529650693,6.757629030150218,131.5429650354863,-17072.147987754943,-0.0005795448490133414,-24.250776220919313,1984.6534282459788
4966.313Cr1,4977.715Ni1,38,13.807968503966272,682618.586804511,7.1866106094593984,131.20263864847192,-7511.653139825492,-0.0006233876146866622,-23.675444242832135,883.6023074373593
