Transition 1,Transition 2,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4953.667Ni1,4956.188Cr1,38,30.565410479623072,140061.83839139467,2.4358994633382527,-262.2999643324755,3352.7558277340636,-0.0002537315869036899,48.766282339417046,-397.53378509310784
4953.667Ni1,4963.956Fe1,38,19.78084953669339,619574.8370439988,0.3337636897874875,-34.38097082197003,1373.7790753125191,-5.30155633421266e-05,124.420179553479,-172.02259361262003
4953.667Ni1,4966.313Cr1,38,19.94449881250895,761938.3988580038,-1.3696805261139273,-101.53186434454797,3509.2591466521108,0.00010384764463847407,147.43751309072942,-423.8496625141377
4953.667Ni1,4966.553Ni1,38,17.99640722074947,778560.4241559819,-0.27807353691709197,52.35375525576177,1131.0396356553817,1.0799881702985126e-05,209.13978119629078,-155.42571029696254
4956.188Cr1,4963.956Fe1,38,19.99183440325806,480874.3382589888,-2.3790429337122827,234.88284253021175,-2236.5367588030003,0.00022419900104627682,26.53693073062624,256.00217335793934
4956.188Cr1,4966.313Cr1,38,22.531500878556987,624905.4525798867,-4.2780377285790445,165.11667043724856,-611.6163877263375,0.0003986603762216423,55.3311054220373,62.0713567690623
4956.188Cr1,4966.553Ni1,38,30.887463637160064,642902.4233041152,-2.7605170870749327,328.2360626386102,-4211.846074792731,0.0002691134407222695,113.30278752910907,472.9757461255426
4963.956Fe1,4966.313Cr1,38,6.5202504777526,142720.2935627595,-1.708177779606435,-66.78281786450187,1982.3498915936802,0.00015702968750800256,10.610693911398945,-234.29933946376133
4963.956Fe1,4971.304Fe1,38,5.610912891589628,440538.38462129474,2.0929125332096685,60.040754533583275,-1552.2684839580152,-0.000174360031878421,-6.834303341531061,177.60281291998723
4966.313Cr1,4966.553Ni1,38,19.122312255526772,20154.715670178146,1.1886203032344722,159.3624788369237,-4124.996735357676,-0.00010112533782624637,65.60377393941461,467.82636613278686
4966.313Cr1,4977.524Ni1,38,17.12214339378379,682889.8391649673,1.2458190089201684,109.82105949858047,-5200.456102913808,-0.00010314834934162106,-130.06883960961653,623.0180593481601
4966.313Cr1,4977.715Ni1,38,14.460547510669452,686275.2263532674,2.9855724600553426,91.4640052053746,-3583.897977176284,-0.00025866433717691614,-87.32782086809353,429.087427553491
4966.553Ni1,4977.524Ni1,38,18.066474998148824,664835.2373862045,0.07517146086794718,-49.90180793424672,-2037.2418779794757,-3.937793973733316e-06,-186.52606887540782,263.1746697381548
4966.553Ni1,4977.715Ni1,38,17.993166789004643,669237.8397473057,1.9035794478948456,-63.41084608259146,-1036.2086623120242,-0.00016597977101144554,-142.58066231835227,141.38471030715772
4971.304Fe1,4983.890Fe1,38,6.143466651862623,751553.8612228401,1.2734342840338506,-34.608990153026575,1435.7802530654037,-0.0001106423640752163,7.872544580909054,-174.57917906781682
4977.524Ni1,4977.715Ni1,38,6.346551952696038,4466.717903390806,1.4470362208631073,-16.11770354743482,1503.5194495964838,-0.00012985836235149614,68.62902535088715,-181.04334709171115
4977.524Ni1,4987.613Fe1,38,15.138225255003913,597823.2902451744,0.370728142300195,-52.29091891538621,4181.070044163909,-4.540900594981051e-05,160.0626381092218,-498.40057428232876
4977.715Ni1,4987.613Fe1,38,13.698748182357358,593769.9262485538,-1.5850314743608822,-32.39544438144987,3154.218363649943,0.0001287835870260787,107.44220584772432,-371.72158547800115
4983.890Fe1,4985.243Fe1,38,1.2080537365546975,78894.64721911817,-0.17933205565390276,-63.51382068076952,1432.0841426064098,1.117685542230214e-05,-23.998953060721956,-162.84927288858074
4983.890Fe1,4985.507Ni1,38,5.763338479141093,97893.73626766761,0.20924502227500297,29.802753660174773,-709.5403677166616,-2.1571310884361264e-05,-51.8893135142136,92.12506322828895
4983.890Fe1,4986.644Fe1,38,2.332576216981525,165303.3454193586,-0.6145048850479847,-24.809778667963336,965.0328401049944,4.925993665221455e-05,-39.8151487182415,-107.84428530523832
4983.890Fe1,4986.938Fe1,38,3.4591001412189843,181280.1483465393,-0.058280758887140856,-85.5858193407811,1078.05795015891,-7.602121091464407e-07,-8.546999907704045,-123.98294757344159
4983.890Fe1,4990.341Fe1,38,3.489689417351376,392059.72590533906,-0.9291257959717293,27.9304218150134,-796.8633450215164,7.902390941902657e-05,-42.33109856788391,99.27572045225232
4985.243Fe1,4985.507Ni1,38,5.563439114117407,20455.888469792553,0.1624177897028184,97.58893583643885,-2514.227855511399,-1.3192498547015121e-05,-34.91162233947267,298.19429413036335
4985.243Fe1,4986.644Fe1,38,4.378721790805005,87602.97287887914,-0.6914634428452813,39.9382053874649,-680.9142842954378,6.02181658350873e-05,-27.739813810566417,80.2665586920616
4985.243Fe1,4986.938Fe1,38,2.3453978672050293,102486.24469957681,-0.016729772208990572,-23.650377076700185,-211.56952591911468,-4.514238498254158e-07,26.024814917293494,22.588633489231583
4985.243Fe1,4990.341Fe1,38,5.822795878345665,314451.3625817936,-1.0164478993936654,92.14577374582477,-2469.2901674017708,9.079086110389192e-05,-7.1583355062677585,290.2983753332087
4985.507Ni1,4986.644Fe1,38,6.809884610169281,67378.04968727837,-0.6338261666980207,-55.5793875462312,1437.726894783987,5.428739620678683e-05,-0.7037085482592638,-172.64543739385067
4985.507Ni1,4986.938Fe1,38,7.784749490450595,83154.82901495077,-0.21925463178752824,-118.16331280874249,1842.2052403908203,1.6213889294142193e-05,30.110318330649466,-223.01544148580263
4985.507Ni1,4990.341Fe1,38,7.544592976535264,293565.6607599898,-0.9004699010378397,-1.0727541424174782,-126.11503628127679,7.969127026899884e-05,6.185187474216461,12.051026996904653
4986.644Fe1,4986.938Fe1,38,3.732996276562793,15941.599185867755,0.6522164317942389,-59.48152548765976,-0.9117946563518942,-5.823261104477212e-05,37.62184709319937,-2.913968134977064
4986.644Fe1,4990.341Fe1,38,4.687843554254389,226435.4494298896,-0.32222615088725126,54.043575559867385,-1604.3625105436852,3.0416038144122824e-05,8.287367369323208,189.03739693455535
4986.938Fe1,4990.341Fe1,38,7.431427514822157,210747.65664639708,-0.7185633303360678,114.99475385877733,-2074.6693170228295,6.652630631412944e-05,-30.684838653980755,247.72972149366933
4987.613Fe1,4994.748Fe2,38,11.59761335431982,419384.9052566147,5.8506614878289955,-94.30060687438053,-4122.070237092241,-0.00047643377112454303,-52.54208599554309,467.4001790551881
4987.613Fe1,4998.487Ti1,38,7.310810572727568,659573.8276340945,-1.5659328319106958,-66.13012049142927,-917.0822350437494,0.00013955072051980637,-64.90047536887553,97.81172174538973
4994.748Fe2,4997.044Ni1,38,12.295010695101144,155336.03736662716,-7.297033866379132,22.877849317561218,2167.7298572791965,0.000604224842114949,-36.75197577282677,-244.32884609968352
4994.748Fe2,4997.044Ni1,39,10.801881995435755,161231.4764863364,-7.531368366679534,39.88366028629606,-221.72190931686578,0.0006211264978546827,-7.651354131730297,35.2458312158044
4994.748Fe2,4998.487Ti1,38,16.281343302991772,239417.61090198753,-7.482717704547422,21.670220084569706,3672.662154803607,0.0006208956383294494,-33.192458755753464,-424.75320171883305
4994.748Fe2,4998.487Ti1,39,14.051978503160353,244387.11335989778,-8.087462046448454,14.196017248046658,2215.3615396766363,0.0006723265595593202,46.89277893622961,-259.02127241399313
4994.748Fe2,5006.566Ti2,39,20.501235178113255,724339.4548810371,-7.150469991114005,188.8190821224208,2645.7258002976855,0.0005871134965660588,33.54920399821883,-278.57894833857273
4997.044Ni1,4998.487Ti1,38,14.302239564308845,86321.72092096781,-0.3881761059614132,7.975630906698739,691.6406653674903,3.521639686958276e-05,16.361972055303763,-82.82151357569343
4997.044Ni1,4998.487Ti1,39,9.632620211691751,82949.39135080714,-0.2145370769594695,-17.636949253484843,2056.929637541648,2.14240946545375e-05,41.70139096287944,-247.70329472967748
